LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,Neighborhood,HouseStyle,BldgType,SalePrice
13520.18,10,6,1966,3301.77,3,South,Loft,Duplex,551704.53
15776.04,6,2,1979,3725.56,3,Hill,Loft,Town,371255.84
13874.51,5,6,1981,1603.4,3,Hill,1Story,Town,255156.37
34524.94,5,6,1969,1362.24,3,South,1Story,Town,247390.4
41907.59,7,6,1971,1150.05,3,South,1Story,Duplex,361638.23
28408.17,8,6,1987,2347.91,3,Hill,2Story,Duplex,385694.72
28073.95,9,6,1983,1927.05,2,North,2Story,Town,446067.73
8304.95,5,6,2002,1906.35,4,South,2Story,Multi,275596.03
27773.71,5,6,1988,1664.92,4,North,1Story,Multi,260791.03
20377.31,7,6,1966,1569.58,3,Hill,1Story,Town,367697.58
28088.81,7,6,1984,2320.61,4,South,2Story,Multi,395838.91
24208.93,8,6,2002,1570.05,2,Hill,1Story,Town,445002.37
14635.96,4,6,2001,1022.11,2,South,1Story,Fam,202862.83
14613.23,7,6,1976,2013.2,1,Hill,2Story,Fam,436372.36
35204.48,8,6,1995,1824.08,4,South,2Story,Duplex,427640.06
13748.56,8,6,1963,1776.19,2,South,1Story,Town,350127.31
32693.55,10,6,1956,3366.69,3,South,Loft,Duplex,866667.06
11204.59,10,5,1976,2119.65,2,South,2Story,Town,475152.1
6734.12,10,6,1969,3064.71,3,South,Split,Duplex,596324.62
15957.14,9,6,1988,1820.68,2,South,2Story,Town,436773.89
33779.86,7,6,1983,1567.18,4,South,1Story,Multi,354224.22
15252.51,5,6,1987,955.07,3,South,1Story,Town,262251.93
8149.02,10,7,1999,1546.17,2,South,1Story,Town,459129.72
38364.98,9,6,1977,2022.77,2,North,2Story,Town,457923.62
19466.2,6,6,1986,1730.6,3,Hill,1Story,Duplex,326789.45
67291.0,7,6,1979,1739.55,3,Hill,1Story,Town,489447.93
14971.26,10,6,1998,1889.97,3,South,1Story,Town,449369.04
2000.0,10,3,2002,3989.03,2,Central,Loft,Town,865310.15
27684.84,10,6,1958,2793.7,4,North,Split,Multi,735658.16
22317.62,8,6,1989,2140.12,2,Hill,2Story,Town,386133.64
17534.37,8,6,1987,1730.15,3,South,1Story,Duplex,364261.92
9020.83,9,6,1986,2366.48,4,South,2Story,Duplex,449430.2
6592.04,9,6,1987,2386.48,2,South,2Story,Town,439455.39
11667.05,10,6,1983,2782.18,3,South,Split,Town,584316.39
54847.5,10,6,1966,2654.44,4,South,Split,Multi,635975.69
62466.81,8,6,1957,1951.69,2,Hill,2Story,Town,445930.08
14008.34,9,6,1990,2427.25,3,South,2Story,Town,435821.8
17377.98,10,6,1989,1997.73,2,Hill,2Story,Town,491968.77
41325.28,5,5,1994,1664.64,3,South,1Story,Duplex,328949.31
34936.39,7,6,1969,2140.67,3,South,2Story,Town,370258.81
16192.43,7,6,1987,1754.61,3,North,1Story,Duplex,303244.99
18821.96,5,4,1956,2446.53,3,South,2Story,Town,270302.06
33913.29,7,6,1980,1614.96,2,South,1Story,Town,392050.15
53075.86,8,6,1974,1729.11,2,South,1Story,Fam,492446.0
38414.35,9,6,1975,2186.78,2,North,2Story,Town,505393.55
23957.85,10,6,1987,2704.43,3,South,Split,Town,627658.05
9506.98,10,6,1998,3591.07,3,South,Loft,Duplex,1198050.28
16941.26,10,6,1995,2131.55,3,Hill,2Story,Town,511337.6
8262.22,6,5,1988,2140.0,4,North,2Story,Multi,285322.48
33201.12,8,6,1973,2043.21,2,Hill,2Story,Town,389726.11
19467.18,8,3,1968,4271.0,3,South,Loft,Town,471786.82
10363.37,10,6,1997,2448.03,3,Hill,2Story,Town,460743.83
14533.34,8,6,1988,1913.86,2,South,1Story,Town,380498.3
23020.67,10,5,1987,3096.74,3,Hill,Split,Town,521868.76
30735.22,10,6,1965,2936.69,3,South,Split,Town,586848.0
136826.48,5,6,1970,1407.53,2,North,1Story,Town,510490.69
37046.59,7,6,1981,2065.54,3,South,2Story,Duplex,413252.03
33142.82,6,6,2002,1501.51,4,South,1Story,Multi,354442.8
19943.75,7,6,1995,2042.75,2,South,2Story,Town,338565.79
28199.55,10,6,1968,2732.44,3,South,Split,Town,774006.82
82504.17,6,6,1986,1430.16,4,South,1Story,Duplex,395631.26
21006.32,10,6,1976,2815.79,2,Hill,Split,Town,634117.94
4471.85,6,5,1990,2549.8,3,Hill,Split,Town,370684.78
18594.54,6,6,1980,2198.82,2,Hill,2Story,Town,319622.48
4588.0,6,7,1994,1490.02,3,South,1Story,Town,298255.51
24256.81,5,6,1984,1040.03,3,South,1Story,Duplex,241723.86
10923.17,8,6,1981,2330.89,2,Hill,2Story,Town,413318.52
19775.66,10,6,1983,2052.24,4,South,2Story,Multi,510712.68
34880.58,6,6,1990,1482.79,4,South,1Story,Multi,361464.22
12837.37,8,6,1981,1524.47,2,North,1Story,Fam,379868.44
45303.09,10,6,1965,3320.69,3,South,Loft,Duplex,726196.47
27018.18,10,6,1965,2173.17,2,South,2Story,Town,531836.63
20643.73,10,6,1977,2825.03,3,South,Split,Duplex,600446.3
6683.97,5,6,1966,1985.06,3,North,2Story,Town,266214.73
31852.69,5,5,1978,1778.06,4,South,1Story,Duplex,311091.96
16510.69,10,6,1963,2242.48,4,South,2Story,Multi,592438.7
50245.95,8,6,1982,1708.94,3,South,1Story,Town,440918.36
62828.07,10,6,1966,3299.21,3,South,Split,Town,840653.19
3482.2,5,6,1988,1418.02,3,North,1Story,Town,173260.87
8683.71,6,6,1966,2381.98,3,Hill,2Story,Town,327911.69
25097.34,10,6,1956,1913.56,2,South,2Story,Town,547175.24
20191.65,7,5,1995,2032.54,3,South,2Story,Duplex,349773.68
8023.13,7,6,1982,2086.73,3,North,2Story,Duplex,356031.63
57152.08,8,6,1968,1909.37,2,South,2Story,Town,458051.09
76877.95,10,6,1959,1968.11,3,North,2Story,Town,649187.43
25525.6,10,6,1976,2889.7,3,North,Split,Town,603610.8
6834.99,8,5,2002,2238.36,2,South,2Story,Fam,369775.11
37800.01,10,6,1962,2576.58,3,South,Split,Town,646062.5
10686.88,10,6,1976,2833.55,3,South,Split,Town,599906.09
23302.94,5,6,1975,2024.09,3,Hill,2Story,Town,316691.23
6702.81,5,6,1991,2174.01,2,Central,2Story,Town,204322.73
4578.91,5,6,1995,2183.78,3,Hill,2Story,Duplex,263265.42
28590.38,7,3,1979,3285.01,3,South,Loft,Town,396819.86
30254.8,10,6,1970,2620.62,3,Hill,Split,Town,557862.12
64147.51,6,6,1973,2160.06,3,North,2Story,Town,373168.47
23934.74,10,6,1973,3266.28,3,Hill,Split,Town,667342.5
25432.04,10,6,1968,2779.37,3,North,Split,Town,680389.34
21548.92,8,6,1981,2123.62,2,South,2Story,Town,447542.99
18731.06,10,6,1980,2226.77,3,North,2Story,Town,521141.43
12798.69,5,6,1982,2097.34,3,North,2Story,Duplex,225526.38
13305.24,4,6,1993,1580.04,3,South,1Story,Duplex,182948.82
39646.13,8,6,1981,2142.69,4,South,2Story,Multi,467337.95
59327.61,6,6,1968,969.67,2,South,1Story,Town,339705.16
14373.55,10,6,1967,3038.32,3,North,Loft,Town,779756.82
28232.8,8,6,1985,2265.97,2,South,2Story,Town,441101.29
18476.62,8,6,1995,2327.95,4,South,2Story,Multi,404015.3
7039.85,10,6,1995,2546.99,3,Hill,Split,Town,586777.89
35865.9,7,5,1980,2044.25,4,South,2Story,Multi,373776.27
16846.55,8,6,1984,1743.46,3,South,1Story,Duplex,398675.06
27713.15,8,5,1961,2857.78,2,Hill,Split,Town,413683.85
11196.24,7,6,1971,2429.28,3,North,2Story,Town,376163.6
25775.82,9,6,1985,2426.78,4,South,2Story,Duplex,510683.89
14647.06,8,6,1972,1823.3,4,South,1Story,Multi,367152.65
25824.0,10,6,1974,3494.77,3,South,Loft,Town,985364.01
25451.09,6,6,1986,1529.0,4,South,1Story,Multi,308732.44
62649.09,7,6,1983,1257.86,2,Hill,1Story,Town,412380.26
6630.42,10,5,1958,3032.25,2,South,Split,Town,867694.07
24444.07,10,6,1972,3006.84,3,Hill,Split,Town,601974.67
50534.95,10,6,1957,2976.9,4,Hill,Split,Duplex,586511.35
47485.21,10,6,1977,1619.53,4,South,1Story,Multi,577042.42
24925.26,7,6,1989,2338.88,3,Hill,2Story,Duplex,374240.51
6850.58,4,6,1960,1462.46,2,Hill,1Story,Fam,177029.89
2000.0,5,6,1968,2042.81,3,North,2Story,Duplex,286509.91
17955.52,10,6,1984,2160.51,3,South,2Story,Duplex,504307.71
27494.02,7,5,1965,2025.91,3,North,2Story,Town,374291.3
13666.94,6,6,1997,1882.01,4,South,1Story,Multi,284598.98
4577.06,10,6,1979,3205.62,3,North,Loft,Duplex,968289.6
12876.64,10,6,1984,1614.88,4,South,1Story,Duplex,532144.12
21436.74,10,6,1963,2739.58,3,South,Split,Town,661624.2
14840.36,6,6,2002,1842.27,2,Hill,1Story,Town,308052.31
12385.5,6,5,1999,2058.39,4,South,2Story,Multi,309297.91
18092.32,6,5,1985,1675.93,3,South,1Story,Duplex,322377.58
27983.12,5,6,1982,2178.19,3,North,2Story,Duplex,267082.47
16997.05,8,6,1980,1578.71,2,North,1Story,Town,414623.02
30876.39,6,6,1996,1732.38,4,South,1Story,Multi,337344.95
12381.41,7,2,1967,4676.82,3,Hill,Loft,Town,457988.71
24327.68,10,6,1978,2715.99,3,Hill,Split,Town,513619.67
18320.46,10,6,2002,1908.7,2,Hill,2Story,Town,451779.58
11726.02,9,6,2002,2663.58,3,South,Split,Town,462563.94
13824.7,5,6,2002,1901.85,2,Hill,2Story,Town,269414.66
8970.79,5,6,1964,1970.09,1,Hill,2Story,Fam,257571.66
13440.23,10,6,2002,2958.18,3,South,Split,Town,530853.58
74919.17,7,5,1963,2845.35,3,South,Split,Town,440675.12
29593.79,10,6,1969,2432.18,3,South,2Story,Duplex,524342.14
9156.06,10,6,1994,2691.55,2,South,Split,Town,480006.83
16344.97,10,6,1996,2102.84,3,South,2Story,Town,528511.31
12815.39,8,5,1983,1808.24,3,South,1Story,Town,390434.61
21950.61,5,6,1996,2106.84,3,South,2Story,Town,304725.55
13867.21,10,5,2002,2433.06,2,Hill,2Story,Town,518733.41
28067.48,6,6,1977,1969.81,2,Hill,2Story,Town,352301.64
13422.33,6,5,1986,2441.36,3,North,2Story,Town,299672.37
16069.35,10,6,1977,2662.48,3,Hill,Split,Town,726711.62
8615.96,10,5,1986,3450.92,3,South,Loft,Town,857699.33
28903.93,7,6,1990,1781.29,4,South,1Story,Duplex,399337.68
6631.6,10,6,1990,2394.81,3,South,2Story,Town,539272.37
30038.22,9,5,1955,1753.63,2,South,1Story,Fam,444953.99
25133.31,7,5,1980,2129.9,2,South,2Story,Town,363856.32
16487.15,8,6,1987,1735.28,4,South,2Story,Duplex,382657.75
17449.56,5,6,2002,1784.86,2,Hill,2Story,Town,281018.28
13403.74,5,5,1960,1477.82,2,South,1Story,Fam,268057.21
17549.14,10,6,1983,2429.52,3,South,Split,Town,459233.47
14508.31,10,6,1992,2428.76,3,South,Split,Town,543320.2
29423.63,10,6,1971,3107.42,3,South,Split,Town,595704.92
11079.22,10,6,1975,2593.64,2,South,2Story,Town,509965.13
29913.02,10,6,1966,2400.51,3,Hill,2Story,Town,541627.33
14519.74,6,5,1972,2461.18,4,Hill,2Story,Duplex,319254.49
19328.58,9,6,1990,2402.85,2,Hill,2Story,Town,449227.39
13585.38,8,6,1989,2002.17,4,South,1Story,Multi,440534.59
28953.58,9,6,1984,2204.12,3,Hill,2Story,Town,481623.34
34324.3,5,5,1960,1600.09,4,South,1Story,Multi,310968.43
58114.08,10,6,1956,2484.76,3,South,2Story,Duplex,637128.55
21775.79,6,6,1995,1874.73,3,South,1Story,Duplex,333301.43
44743.65,9,6,1971,2078.98,3,South,2Story,Duplex,547712.04
47580.13,4,6,1986,1531.94,4,South,1Story,Duplex,283838.2
60017.79,7,6,1967,1766.0,2,South,1Story,Town,405684.33
18112.8,10,6,1980,2576.0,3,Central,Split,Duplex,510131.52
26973.84,9,6,1971,1482.3,2,North,1Story,Town,467081.36
14146.28,10,6,2002,3141.28,2,Hill,Split,Town,685575.74
28482.9,9,6,1978,1592.02,4,South,1Story,Duplex,442968.21
17321.84,7,5,1983,2981.4,2,Hill,Split,Town,378887.68
22527.76,10,6,1992,2547.08,2,South,2Story,Town,555289.97
14275.22,6,6,1987,1579.62,4,South,1Story,Duplex,322674.21
10623.16,8,5,2002,3003.29,3,North,Split,Town,419135.57
26789.16,10,5,1960,3268.06,2,South,Loft,Town,716591.31
73467.72,7,5,1956,1742.69,2,South,1Story,Town,463915.21
23942.12,10,6,1982,3649.98,3,North,Loft,Town,1214954.19
10645.09,8,6,1999,2311.79,2,Hill,2Story,Town,385862.98
26701.17,8,6,1986,1670.1,4,South,1Story,Multi,398747.45
18525.58,8,6,1980,2309.89,3,South,2Story,Duplex,458521.51
30920.71,5,6,1955,1736.27,2,South,1Story,Town,284504.46
32460.53,5,6,1976,1650.51,1,South,1Story,Fam,326938.65
57720.83,10,6,1968,2654.58,3,Hill,Split,Duplex,680105.79
10808.28,8,5,1967,2561.63,3,Hill,Split,Town,397842.85
71817.98,6,6,1974,1958.3,2,South,1Story,Town,334796.0
21661.84,10,6,1969,2808.21,3,South,Split,Duplex,614268.76
39758.54,7,6,1985,1746.16,4,South,1Story,Multi,399017.17
23801.72,10,6,1955,1897.2,2,South,2Story,Fam,467887.33
24465.3,8,6,1961,2383.56,3,Hill,2Story,Duplex,401132.99
15509.07,7,5,1999,2573.21,3,Hill,Split,Town,370464.6
23546.61,8,6,1987,1839.29,2,South,2Story,Fam,434064.6
2000.0,10,7,1982,2361.7,2,South,2Story,Town,660081.2
15531.78,10,6,1965,3162.68,3,Hill,Split,Duplex,730779.67
20292.6,10,6,1959,2279.63,3,South,2Story,Town,514307.09
21183.81,10,6,1985,2010.31,4,North,2Story,Duplex,591069.38
26074.7,10,6,1975,3177.16,3,South,Loft,Town,809899.5
39288.08,9,6,1985,2341.84,4,South,2Story,Multi,503730.27
28233.64,8,5,1964,2954.46,3,Central,Split,Town,450062.23
21720.73,8,6,1976,2155.12,3,South,2Story,Town,434431.69
23016.87,5,6,1980,1015.88,2,South,1Story,Town,266279.67
35881.61,7,5,1995,1617.97,4,South,1Story,Duplex,377844.27
11795.46,6,6,1960,1825.34,4,Hill,1Story,Multi,325236.78
21108.92,8,6,1986,1661.78,2,South,1Story,Fam,408858.58
10843.48,4,5,1997,2318.53,3,Hill,2Story,Duplex,211903.37
41302.89,10,6,1967,2080.03,4,North,2Story,Duplex,576039.69
38313.33,10,6,1974,2318.63,3,South,2Story,Town,536904.03
10392.4,4,6,1982,1966.13,2,Central,1Story,Town,233976.82
26887.62,6,6,1987,1944.08,3,Hill,2Story,Duplex,352722.92
13279.07,10,5,1985,2204.06,2,South,2Story,Fam,596701.47
39105.89,7,6,1976,2241.24,4,South,2Story,Duplex,403331.31
6984.04,6,6,1993,1450.67,2,Hill,1Story,Town,292039.33
48942.98,10,6,1983,2757.46,3,North,Split,Town,783745.02
40101.65,6,5,1964,990.2,3,South,1Story,Town,324352.66
16860.2,5,6,1975,1705.63,4,North,1Story,Duplex,266941.41
24061.75,10,6,1963,3371.18,3,Central,Loft,Duplex,716558.78
39724.27,8,6,1978,2047.15,4,South,2Story,Multi,471190.07
47454.39,7,6,1983,1770.97,4,South,1Story,Duplex,398969.19
2000.0,4,4,1984,2088.61,2,South,2Story,Fam,176198.27
16466.98,10,6,1966,2127.17,2,South,2Story,Fam,493325.45
39519.68,10,6,1973,2634.14,3,South,Split,Town,598943.89
14573.39,10,6,2002,3832.74,3,South,Loft,Town,1115044.24
17926.13,8,5,1987,2123.71,4,South,2Story,Multi,387517.64
14949.76,7,6,1976,2129.14,3,North,2Story,Duplex,377971.43
64790.47,9,2,1957,3993.92,2,South,Loft,Fam,589843.55
47613.12,10,6,1980,2713.09,3,South,Split,Duplex,582088.45
6345.35,10,2,1975,4166.69,2,Hill,Loft,Fam,693684.11
31169.67,10,6,1979,2429.04,3,North,2Story,Duplex,527541.49
32144.35,10,6,1985,2178.39,3,South,2Story,Duplex,530927.01
23902.28,6,6,1986,1644.46,2,South,1Story,Town,337608.74
16655.88,10,6,1985,2700.45,2,South,Split,Town,843586.32
17879.42,10,6,1965,2954.34,3,South,Split,Duplex,611849.23
32140.96,7,6,1986,1754.17,4,South,1Story,Multi,346174.68
99487.65,10,6,1957,2960.74,3,South,Split,Duplex,754743.85
6564.43,6,6,1961,2296.97,3,South,2Story,Duplex,306251.52
6431.64,9,1,1968,6536.38,3,Hill,Loft,Town,519536.07
18175.7,8,6,1991,1992.39,4,South,2Story,Multi,387066.08
21660.91,7,6,1982,2482.15,3,Hill,2Story,Town,408414.74
23517.74,8,1,1972,3594.07,4,North,Loft,Multi,456072.53
17535.94,10,6,1984,2063.95,2,Hill,2Story,Town,529432.43
22939.89,9,5,1969,1953.67,3,South,2Story,Duplex,464738.11
18365.62,7,6,1982,2105.09,3,North,2Story,Town,361585.68
27292.96,10,6,1966,3017.41,4,Hill,Split,Duplex,655725.06
25812.93,5,5,1967,1880.66,3,South,2Story,Town,281700.83
19717.09,5,6,1974,1812.38,4,South,1Story,Duplex,274000.91
18852.74,4,5,1978,1460.45,3,Hill,1Story,Town,215208.36
38874.86,10,6,1967,3250.17,4,South,Loft,Duplex,814126.25
14753.02,10,6,1976,2835.32,3,Hill,Split,Town,612939.56
21200.12,6,6,1988,2152.1,3,South,2Story,Duplex,300103.01
23088.31,6,4,1965,2727.84,3,Central,Split,Town,368374.45
18503.44,9,6,1994,1937.1,3,South,2Story,Town,426124.68
32811.9,8,6,1971,1953.52,3,South,1Story,Town,438021.2
16734.94,7,5,1973,2100.13,3,Hill,2Story,Town,345533.73
27459.39,10,6,1984,2604.07,3,Hill,Split,Town,593420.27
8080.5,10,6,1988,2685.54,3,Hill,Split,Town,536653.48
15120.05,10,5,1992,3370.27,3,South,Loft,Town,1009607.2
15418.54,8,6,1970,1749.35,2,Hill,1Story,Fam,410839.77
10424.8,6,5,1966,2597.14,2,South,Split,Fam,278880.49
21512.04,7,6,2002,1918.57,3,South,1Story,Town,329208.47
22585.86,4,6,1991,1350.6,4,South,1Story,Duplex,191108.26
8937.26,6,6,1966,2283.77,3,Hill,2Story,Town,299821.32
2000.0,10,5,1976,2994.16,4,South,Split,Multi,502504.37
21961.02,7,6,1993,1977.94,3,North,2Story,Town,347653.78
17858.0,6,5,1973,2548.75,3,North,Split,Town,275143.36
12207.61,10,6,1967,2057.93,2,South,2Story,Town,494480.2
14328.68,10,6,1987,2482.85,3,South,Split,Town,565203.58
2000.0,8,6,1980,1624.72,2,South,1Story,Fam,402328.42
4590.59,10,6,1982,2874.69,2,North,Split,Town,599815.18
21526.41,10,6,1967,2730.03,4,South,Split,Duplex,565816.32
23358.91,8,6,1991,2234.15,3,South,2Story,Town,407292.97
16335.02,9,6,1966,1754.76,3,South,1Story,Town,428275.83
20448.93,8,6,1993,2231.59,3,South,2Story,Town,367841.78
17526.69,9,6,1986,2276.78,4,South,2Story,Multi,510014.26
11382.5,8,6,1989,2310.36,3,South,2Story,Duplex,414938.94
24753.67,10,6,1988,2788.63,3,North,Split,Town,710754.29
36757.33,10,6,1970,2337.04,3,North,2Story,Town,592435.51
9391.47,9,6,1998,2666.73,3,South,Split,Town,444796.56
49903.55,8,6,1967,1804.22,3,North,1Story,Duplex,472772.85
18634.78,5,6,1973,1910.31,3,Hill,1Story,Town,251535.03
31015.59,5,6,1962,2282.93,3,North,2Story,Duplex,256417.87
4073.99,5,6,2000,1796.25,3,Hill,1Story,Town,234341.55
25578.95,10,5,1971,2610.63,2,North,Split,Town,573302.8
17306.34,10,6,1985,2737.1,3,South,Split,Duplex,577755.08
27680.72,8,6,1986,1780.66,4,South,1Story,Multi,442411.65
21862.84,10,6,1967,2687.95,3,Central,Split,Duplex,504789.13
10431.3,6,6,1991,2160.03,2,Hill,2Story,Town,328879.81
155984.12,10,5,1952,3159.9,3,Hill,Loft,Duplex,740654.88
19422.29,10,6,1980,2682.34,3,South,Split,Town,574406.09
18175.21,10,6,1970,3829.4,3,South,Loft,Duplex,1025587.91
21558.85,9,6,1988,1700.04,4,South,1Story,Duplex,509068.99
41350.84,8,6,1971,2204.71,4,South,2Story,Duplex,504476.95
22503.88,7,6,1982,1420.61,2,Hill,1Story,Town,352285.88
29698.5,9,6,1977,1579.43,1,South,1Story,Fam,421695.28
19055.04,6,5,1972,2756.16,4,North,Split,Duplex,305798.1
29237.98,7,6,1991,1760.36,4,South,1Story,Duplex,385907.05
28945.35,6,6,1971,1634.98,3,South,1Story,Town,323892.48
20831.12,9,6,1967,1798.38,2,South,2Story,Town,451672.23
37373.1,10,6,1984,2081.56,3,South,2Story,Town,542585.09
13216.35,6,6,1992,1846.62,4,South,1Story,Multi,292638.43
16497.28,5,6,2002,2304.06,3,South,2Story,Duplex,293083.17
19484.86,7,6,1994,2212.59,4,Hill,2Story,Multi,348706.86
28835.83,10,6,1960,2331.18,4,South,2Story,Duplex,562104.92
28217.19,6,6,1992,1602.85,4,South,1Story,Duplex,328605.94
12493.36,10,6,2002,3756.27,4,South,Loft,Duplex,1223618.94
42179.92,10,6,1970,2408.92,2,South,2Story,Town,632523.04
25875.23,8,6,2002,1682.19,4,South,1Story,Duplex,417922.65
94203.08,7,6,1975,1353.96,3,South,1Story,Town,487106.18
14033.98,8,6,2002,1906.07,2,Hill,2Story,Fam,356997.67
21980.87,8,6,1992,2031.45,3,Hill,2Story,Town,399148.58
22313.14,9,6,1986,2275.79,4,South,2Story,Multi,466004.03
14401.24,6,6,1975,1663.99,3,South,1Story,Town,281307.51
13433.07,7,6,1985,1811.56,2,North,1Story,Fam,320754.33
20700.94,6,5,1975,1873.5,3,Hill,2Story,Town,316912.9
35351.69,10,6,1981,3375.63,3,South,Loft,Duplex,861590.02
